date,open,high,low,close,volume
2024-01-01,100.6,102.3,100.1,101.2,1000
2024-01-02,102.29,103.99,101.79,102.89,1010
2024-01-03,104.45,106.15,103.95,105.05,1020
2024-01-04,107.02,108.72,106.52,107.62,1030
2024-01-05,109.9,111.6,109.4,110.5,1040
2024-01-06,113.0,114.7,112.5,113.6,1050
2024-01-07,116.19,117.89,115.69,116.79,1060
2024-01-08,119.36,121.06,118.86,119.96,1070
2024-01-09,122.38,124.08,121.88,122.98,1080
2024-01-10,125.14,126.84,124.64,125.74,1090
2024-01-11,127.53,129.23,127.03,128.13,1100
2024-01-12,129.5,131.2,129.0,130.1,1110
2024-01-13,130.98,132.68,130.48,131.58,1120
2024-01-14,131.96,133.66,131.46,132.56,1130
2024-01-15,132.46,134.16,131.96,133.06,1140
2024-01-16,132.52,134.22,132.02,133.12,1150
2024-01-17,132.2,133.9,131.7,132.8,1160
2024-01-18,131.61,133.31,131.11,132.21,1170
2024-01-19,130.86,132.56,130.36,131.46,1180
2024-01-20,130.06,131.76,129.56,130.66,1190
2024-01-21,129.34,131.04,128.84,129.94,1200
2024-01-22,128.82,130.52,128.32,129.42,1210
2024-01-23,128.61,130.31,128.11,129.21,1220
2024-01-24,128.8,130.5,128.3,129.4,1230
2024-01-25,129.44,131.14,128.94,130.04,1240
2024-01-26,130.57,132.27,130.07,131.17,1250
2024-01-27,132.2,133.9,131.7,132.8,1260
2024-01-28,134.3,136.0,133.8,134.9,1270
2024-01-29,136.82,138.52,136.32,137.42,1280
2024-01-30,139.66,141.36,139.16,140.26,1290
2024-01-31,142.74,144.44,142.24,143.34,1300
2024-02-01,145.93,147.63,145.43,146.53,1310
2024-02-02,149.11,150.81,148.61,149.71,1320
2024-02-03,152.15,153.85,151.65,152.75,1330
2024-02-04,154.95,156.65,154.45,155.55,1340
2024-02-05,157.4,159.1,156.9,158.0,1350
2024-02-06,159.42,161.12,158.92,160.02,1360
2024-02-07,160.97,162.67,160.47,161.57,1370
2024-02-08,162.02,163.72,161.52,162.62,1380
2024-02-09,162.58,164.28,162.08,163.18,1390
2024-02-10,162.69,164.39,162.19,163.29,1400
2024-02-11,162.42,164.12,161.92,163.02,1410
2024-02-12,161.86,163.56,161.36,162.46,1420
2024-02-13,161.12,162.82,160.62,161.72,1430
2024-02-14,160.32,162.02,159.82,160.92,1440
2024-02-15,159.59,161.29,159.09,160.19,1450
2024-02-16,159.04,160.74,158.54,159.64,1460
2024-02-17,158.78,160.48,158.28,159.38,1470
2024-02-18,158.91,160.61,158.41,159.51,1480
2024-02-19,159.48,161.18,158.98,160.08,1490
2024-02-20,160.55,162.25,160.05,161.15,1500
2024-02-21,162.12,163.82,161.62,162.72,1510
2024-02-22,164.16,165.86,163.66,164.76,1520
2024-02-23,166.62,168.32,166.12,167.22,1530
2024-02-24,169.43,171.13,168.93,170.03,1540
2024-02-25,168.78,170.48,168.28,169.38,1550
2024-02-26,168.26,169.96,167.76,168.86,1560
2024-02-27,167.75,169.45,167.25,168.35,1570
2024-02-28,167.12,168.82,166.62,167.72,1580
2024-02-29,166.25,167.95,165.75,166.85,1590
2024-03-01,165.05,166.75,164.55,165.65,1600
2024-03-02,163.44,165.14,162.94,164.04,1610
2024-03-03,161.35,163.05,160.85,161.95,1620
2024-03-04,158.77,160.47,158.27,159.37,1630
2024-03-05,155.69,157.39,155.19,156.29,1640
2024-03-06,152.16,153.86,151.66,152.76,1650
2024-03-07,148.24,149.94,147.74,148.84,1660
2024-03-08,144.01,145.71,143.51,144.61,1670
2024-03-09,139.59,141.29,139.09,140.19,1680
2024-03-10,135.09,136.79,134.59,135.69,1690
2024-03-11,130.64,132.34,130.14,131.24,1700
2024-03-12,126.35,128.05,125.85,126.95,1710
2024-03-13,122.35,124.05,121.85,122.95,1720
2024-03-14,118.72,120.42,118.22,119.32,1730
2024-03-15,115.54,117.24,115.04,116.14,1740
2024-03-16,112.84,114.54,112.34,113.44,1750
2024-03-17,110.64,112.34,110.14,111.24,1760
2024-03-18,108.92,110.62,108.42,109.52,1770
2024-03-19,107.63,109.33,107.13,108.23,1780
2024-03-20,106.7,108.4,106.2,107.3,1790
